about,address,area,award_winner,children,disabled_access,dogs,dress_code,gardens,gluten_free,halal,latitude,longitude,menu_description,menu_url,music,name,nearest_railway_station,nut_free,outdoor_seating,region,starting_price,times,vegan,vegetarian,venue_url,where_to_sit
"Spoil yourself to a luxurious Afternoon Tea experience at Down Hall Hotel, an ornate country house located in Bishop's Stortford.  Afternoon Tea can be served in either the Main Lounge or Terrace, which provides guests with warm and welcoming surroundings to indulge in the great British tradition  Their Afternoon Tea menu features a range of delightful sweet and savoury items including coronation chicken sandwiches, buttermilk scones and strawberry cupcakes. Guests feeling in a decadent mood can upgrade to include a glass of prosecco or Champagne.  Down Hall Hotel is set on the border of Hertfordshire and Essex, just 45 minutes away from Central London.  Please note that Afternoon Tea is priced from £40pp on weekdays and £42.50pp on weekends.","Matching Rd, Hatfield Heath, Bishop's Stortford,CM22 7AS",Hertfordshire,,Yes,Yes,Yes,Smart Casual,Yes,"Yes, available upon request","Yes, available upon request",51.79608009387004,0.2067702420241435,Monday - Friday; Saturday - Sunday,www.afternoontea.co.uk//media/pxzjgfxa/afternoon-tea_jan23_final.pdf,On special occasions,Down Hall Hotel,"BIshop's Stortford, 6.5 miles away","Yes, available upon request",Yes,East of England,40.00,Afternoon Tea is served 2pm to 5:30pm daily,"Yes, available upon request",,https://www.afternoontea.co.uk/uk/east-of-england/hertfordshire/down-hall-hotel/,"Main Lounge, Terrace or in one of their individually designed private rooms."
"Come and try for yourself Afternoon Tea at the delightful DoubleTree by Hilton Oxford Belfry. Set in 17 acres of stunning gardens and grounds, the Oxford Belfry is the perfect place to relax and enjoy a wonderful afternoon with family and friends.  A quintessentially British Afternoon Tea is served in the Rycote Lounge, including a selection of finger sandwiches and a daily changing sweet treat for your fancy.  DoubleTree by Hilton Oxford Belfry is just minutes from the M40 motorway, with the nearest railway station Haddenham & Thame Parkway; it is the perfect place to escape the city and bask in the beautiful countryside.","Milton Common, Thame, Oxfordshire,OX9 2JW",Oxford & Oxfordshire,,Yes,Yes,Guide dogs only,Smart casual,Yes,Please advise when making a reservation.,Please advise when making a reservation.,51.727469,-1.059150,,www.afternoontea.co.uk//media/oe1hw2fq/oxford-belfry-afternoon-tea-menu.pdf,No live music,DoubleTree by Hilton Oxford Belfry,Haddenham & Thame Parkway,Please advise when making a reservation.,Yes,South East,25.00,Afternoon Tea is served 12pm to 3:30pm everyday,Please advise when making a reservation.,,https://www.afternoontea.co.uk/uk/south-east/oxford-oxfordshire/doubletree-by-hilton-oxford-belfry/,Bar
"Ideally situated opposite Victoria Station, the DoubleTree by Hilton Hotel London Victoria is surrounded by many of London's main points of interest. Major attractions, such as Westminster Abbey, Houses of Parliament, Soho, and Trafalgar Square are all within walking distance.  Housed within the DoubleTree by Hilton London-victoria Hotel is the stylish contemporary restaurant, 2 Bridge Place. Newly renovated, this engaging venue with its Modern European-influences is the an ideal setting for a relaxing Afternoon Tea.","2 Bridge Place, Victoria, London,SW1V 1QA",Victoria & Westminster,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,,,51.49396,-0.14343,,www.afternoontea.co.uk//media/z3knanbk/doubletree-victoria_a5-afternoon-tea-menu-may-2023.pdf,No live music,DoubleTree by Hilton London Victoria,Victoria,,No,London,28.95,Afternoon Tea is served 1pm to 5pm every day,,,https://www.afternoontea.co.uk/uk/london/victoria-westminster/doubletree-by-hilton-london-victoria/,Bar & Lounge Area
"DoubleTree by Hilton London Ealing Hotel is a stylish hotel situated in the heart of West London. With modern amenities, comfortable accommodations, and exceptional service, this hotel offers guests a convenient and enjoyable afternoon.  Experience a delightful Afternoon Tea at W5 Bar & Kitchen within our hotel, where cosy and elegant setting creates the perfect ambiance. Relax in chic decor, comfortable seating, and natural lighting while indulging in a delicious selection of sandwiches, scones, cakes, and pastries with tea or a bit of fizz. The friendly staff ensures a memorable and enjoyable visit, making this charming setting an ideal choice. The menu typically features a choice of finger sandwiches, freshly baked scones with clotted cream and jam, and an array of delicious cakes, pastries, and macarons. The sandwiches are made fresh and tailored to your taste buds, ensuring a delightful experience. Guests can also enjoy a variety of teas, coffees, and bubbly to accompany their food. Vegetarian or gluten-free options are also available to cater to different dietary needs.","2-8 Hanger Lane London,W5 3HN",West London,,Yes,Yes - Accessible and with facilities,Guide dogs only,Smart/Casual,,Advance notice is required (48 Hours),Advance notice is required (48 Hours),51.51188083785861,-0.2906187730951002,,www.afternoontea.co.uk//media/b1jjylp5/afternoon-tea-w5-bar-kitchen-2023.pdf,Bar/Restaurant Ambience music in background,DoubleTree by Hilton London Ealing,Ealing Common Station (less than 2 min walk) Ealing Broadway Station (10 min walk),Advance notice is required (48 Hours),Terrace Area,London,25.00,11am - 6pm,Advance notice is required (48 Hours),Advance notice is required (48 Hours),https://www.afternoontea.co.uk/uk/london/west-london/doubletree-by-hilton-london-ealing/,W5 Bar & Kitchen
"Steeped in history and oozing ambience the stunning Koukash Bar and Grill at DoubleTree by Hilton Hotel & Spa Liverpool is the ideal setting to enjoy a mouth-watering afternoon tea.  Enjoy a delicious selection of carefully prepared sandwiches and sumptuous homemade cakes, not to mention the most delightful scones complete with generous helpings of jam and clotted cream, all washed down with a selection of traditional, herbal and fruit teas or freshly brewed coffee made from Aribica barista coffee beans.  DoubleTree by Hilton Hotel & Spa Liverpool is just a short walk from Moorfields Railway Station and from Liverpool ONE.","6 Sir Thomas Street, Liverpool,L1 6BR",Liverpool,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,"Yes, please specify at the time of booking",No,53.408543,-2.987144,,www.afternoontea.co.uk//media/lzcozlkn/doubletree-hilton-liverpool-at-menu.pdf,No live music,DoubleTree by Hilton Liverpool,Moorfields,"Yes, please specify at the time of booking",No,North West,24.99,Afternoon Tea is served 12:30pm to 4pm every day,"Yes, please specify at the time of booking",,https://www.afternoontea.co.uk/uk/north-west/liverpool/doubletree-by-hilton-hotel-spa-liverpool/,Koukash Bar and Grill
"Urban Meadow is a stunning, light venue located near Kensington Palace, bringing to life the wilderness and raw beauty of a Hyde Park (meadow) set against a sophisticated, London (urban) backdrop, with a beautiful terrace for al fresco dining.  Afternoon Tea is served in the Urban Meadow Cafe where you can enjoy a  selection of finger sandwiches, freshly baked scone served with  strawberry jam and clotted cream, a selection of cakes and a pot of  tea.  Gluten Free Afternoon Tea is available upon request.","150 Bayswater, London,W2 4RT",West London,,Children of all ages welcome,"Yes, accessible ramp from the hotel main entrance towards Urban Meadow",Guide dogs only,No dress code,No,"Yes, must be booked at least 24 hours in advance","Yes, available upon request",51.510093,-0.190349,Please note that a 10% service charge will be incurred.,www.afternoontea.co.uk//media/iopjyamf/at-menu-2023.pdf,No live music,DoubleTree by Hilton Hyde Park,Notting Hill Gate Or Queensway,"Yes, available upon request",Yes,London,35.00,Afternoon Tea is served 12pm to 5pm every day,"Yes, available upon request",,https://www.afternoontea.co.uk/uk/london/west-london/doubletree-by-hilton-hyde-park/,Urban Meadow Cafe & Bar
"A sanctuary from city living, The Shore is the perfect setting for drinks, Afternoon Tea, conversation & simply watching the world go by. The team at The Shore will make you feel right at home.  The Afternoon Tea is served in the main dining area of the Shore Restaurant, enjoy amazing views of the Queensferry Crossing whilst experiencing our delicious, handmade Afternoon Tea.  The Afternoon Tea menu is dynamic, every day the chefs change the delicious sweet treats, enhancing the experience for customers.","St Margarets Head, Inverkeithing,KY11 1HP",Edinburgh,,Children of All Ages Welcome,,Guide Dogs Only,,,"Yes, 72 hours’ notice required, customers should contact the Shore Restaurant prior making a booking.",,56.018570,-3.408340,,www.afternoontea.co.uk//media/2yqj03or/afternoon-tea-and-cream-tea-menu-1.pdf,,DoubleTree by Hilton Edinburgh – Queensferry Crossing,,,,Scotland,17.50,"Daily from 12:30pm until 2:30pm. Last entry 2:15pm, 24hr pre-booking required.",,"Yes, 48 hours’ notice required, customers should contact the Shore Restaurant prior making a booking.",https://www.afternoontea.co.uk/uk/scotland/edinburgh/doubletree-by-hilton-edinburgh-queensferry-crossing/,The Shore Restaurant
"DoubleTree by Hilton Brighton Metropole features handcrafted cocktails, an all-day dining menu, decadent Afternoon Tea and a grand outdoor space with stunning sea views.  Afternoon Tea is served in the stylish Metropole Bar, a sophisticated space that excels at creating enticing meals and innovative cocktails that evoke the coastal setting of the venue.","Kings Road, Brighton, East Sussex,BN1 2FU",East Sussex,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,"Yes, please specify in the comments section at the time of booking",,50.821236,-0.147856,,www.afternoontea.co.uk//media/jtwnl3o0/new-afternoon-tea-2024.pdf,No live music,DoubleTree by Hilton Brighton Metropole,Brighton,,Yes,South East,32.00,Afternoon Tea is served 12pm to 4pm every day,"Yes, please specify in the comments section at the time of booking",,https://www.afternoontea.co.uk/uk/south-east/east-sussex/doubletree-by-hilton-brighton-metropole/,Metropole Bar
"Dorset Square Hotel is set in a beautiful Regency townhouse in the heart of Marylebone, which looks onto the leafy private garden square that was originally the site of Thomas Lord's first cricket ground. The hotel enjoys a cricket theme that transcends into the stylist restaurant, The Potting Shed.  You’ll enjoy their new garden-inspired classic Afternoon Tea, served every day between 1pm and 4pm. Enjoy sweet treats such as homemade Carrot cake and seasonal Strawberry and custard tart alongside a selection of finger sandwiches, Asparagus and cheddar quiche and Coronation chicken vol au vent. Each stand also comes with freshly baked Scones with clotted cream and jam, and of course tea, coffee or hot chocolate.  Please note that each guest dining must order Afternoon Tea - One Afternoon Tea cannot be shared between two or more guests","39-40 Dorset Square, London,NW1 6QN",Marylebone & Paddington,,Yes,Yes,Guide dogs only,Smart casual,No,"Yes, 24 hours notice required",,51.522613,-0.160292,Please note that the menu is subject to change.,www.afternoontea.co.uk//media/acdlncj0/the-potting-shed-at-dorset-square-hotel_afternoon-tea-v2.pdf,No,Dorset Square Hotel,Baker Street,"Yes, available upon request",No,London,40.00,Afternoon Tea is served 1pm to 3pm Monday to Saturday,"Yes, 24 hours notice required",,https://www.afternoontea.co.uk/uk/london/marylebone-paddington/dorset-square-hotel/,The Potting Shed Bar and Restaurant
"Delight in a traditional afternoon tea aboard the Dorset Queen. Enjoy bottomless prosecco as you explore the magnificent coastline.  Set sail and enjoy a unique British experience with a cruise aboard the Dorset Queen. Departing from the historic Poole Quay, you'll enjoy a voyage towards the coastline of Lilliput, passing Parkstone Yacht Club and Salterns Marina as well as the Royal Motor Yacht Club. Enjoy incredible passing views of the 16th Century Brownsea Castle and travel on to the impressive Millionaires Row of Sandbanks. A delicious afternoon tea will be served during the trip, allowing you to enjoy some scrumptious nibbles while you cruise.","Poole, Dorset,BH15 1HJ",Dorset,,,,,,,,,50.712278,-1.986436,,,,Dorset Queen Cruise,Poole,,,South West,69.00,,,,https://www.afternoontea.co.uk/uk/south-west/dorset/dorset-queen-cruise/,
"Afternoon Tea Awards 2023 - 'Award of Excellence'  Of the 3,000 meals served at The Dorchester each day, none receives more attention than the gracious service known as Afternoon Tea. In fact, The Dorchester has been awarded a Highly Commended certificate at the Afternoon Tea Awards 2018 in recognition of its outstanding quality and high standards in Afternoon Tea service.  Afternoon Tea is served in The Promenade, a lobby on the ground floor, where potted palms and towering fountains of flowering plants surround plush couches with pillows as soft as marshmallows.  Afternoon Tea begins with a selection of savoury finger sandwiches. Crusts are removed from fresh baked white and brown breads, and the delicate slices are filled a range of sumptuous items. Warm scones arrive next, made from a recipe unchanged at The Dorchester for over half a century. They are served with glistening strawberry jam and Devonshire clotted cream.  The final course is the piece de resistance, the platter of award-winning cakes and tartlets. The pastries include wonderful treats such as a Pistachio and apricot Swiss roll.","53 Park Lane, Mayfair, London,W1K 1QA",Mayfair,Afternoon Tea Awards 2023 - 'Award of Excellence',Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,"Yes, on request","Yes, on request",51.507043,-0.1522,,www.afternoontea.co.uk//media/twendn5c/tdl_the-promenade_afternoon-tea_online_180123.pdf,Yes,The Dorchester Hotel,Hyde Park Corner,"Yes, on request",No,London,95.00,Afternoon Tea is served from 12pm - 4:30pm daily.,"Yes, on request","Yes, on request",https://www.afternoontea.co.uk/uk/london/mayfair/the-dorchester-hotel/,The Promenade
"Enjoy a traditional Afternoon Tea at Donnington Manor Hotel. This 15th-century manor house has beautifully manicured gardens leading to a welcoming and pristinely presented Tudor property, offering style and excellent service.  Donnington Manor Hotel is a fusion of classic British heritage and contemporary style, elegantly offset with touches of European flair inside the restaurant. The walls and gardens are peppered with artwork, and there is careful attention to detail with a personalised approach to hospitality.  Afternoon Tea includes a selection of elegant finger sandwiches with an assortment of fillings, unsurpassable scones served with jam and clotted cream, and delicious freshly baked cakes and petit fours. These are served alongside a choice of organic teas, or why not upgrade with a glass of Bottega Gold Prosecco?  Donnington Manor is just 10 minutes from Sevenoaks and a 30 minute drive from London. Dunton Green Station is just a short distance away","London Road, Dunton Green Sevenoaks, Kent,TN13 2TD",Kent,,Yes,Yes,"Guide dogs are allowed, dogs are also allowed on the patio area.",No,Yes,"Yes, advance notice required","Yes, advance notice required",51.3021643531605,0.1604390693079343,,www.afternoontea.co.uk//media/ewmlmv5y/donnington-manor-at-menu.pdf,No,Donnington Manor Hotel,Dunton Green,"Yes, advance notice required",Yes,South East,24.95,Afternoon Tea is served daily from 12pm - 5:30pm,"Yes, advance notice required","Yes, advance notice required",https://www.afternoontea.co.uk/uk/south-east/kent/donnington-manor-hotel/,"Spectrum Bar, Chartwell restaurant"
"Against the backdrop of Centurion Club’s 18 th Green, Afternoon Tea is served in the Restaurant’s elegant, light-filled garden room. Walls adorned with floral decoration and lush green plants, make it the perfect place to enjoy a leisurely afternoon. And in the summer months, there is the option to dine on the restaurant terrace, which offers uninterrupted views across the lake. Head Chef, Calvin Hill has created a Afternoon Tea menus inspired by the seasons with three to choose from, including traditional, vegetarian and vegan. Each feature a selection of finger sandwiches, with a range of delicious fillings from Gin Cired Seatrout and Free Range Egg Mayonnaise to Coastal Cheddar with Spring Onion. Scones are served with Strawberry Preserve & Cornish Clotted Cream and are followed by an exquisite selection of delicate cakes and pastries. You can expect Strawberry Layer Cake, Mango & Passion Fruit Choux and a Chocolate & Banana Delice.  As the perfect accompaniment you are invited to choose from a wide range of Newby speciality teas and infusions, including The Centurion Blend, Lapsang Souchong and Milk Oolong.  Afternoon Tea at Centurion Club is priced from £30 per person and is served Tuesday to Friday from 12.30pm to 4pm and Saturday from 12pm to 4.30pm.  Centurion Club is located just 35 minutes from Central London, close to the M1 Junction 8, west of St. Albans.","Hemel Hempstead Road, Hemel Hempstead,HP3 8LA",Hertfordshire,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,,Advance request required,Advance request required,51.74283,-0.41092,"Afternoon Tea Prices; Traditional Afternoon Tea; Tuesday - Friday £30pp, Saturday £35pp; Sparkling Afternoon Tea; served with a glass of Prosecco; Tuesday - Friday £35pp, Saturday £40pp; Champagne Afternoon Tea; served with a glass of Tattinger Champagne; Tuesday - Friday £40pp, Saturday £45pp; Children's Afternoon Tea; available for children under 12; £12.95pp",www.afternoontea.co.uk//media/qolh5zsw/afternoon-tea-spring_march2023.pdf,,Dining at Centurion,Apsley,Advance request required,Terrace (weather permitting),East of England,30.00,Tuesday to Friday: 12:30 to 4pm / Saturday 12-4:30pm,Advance request required,,https://www.afternoontea.co.uk/uk/east-of-england/hertfordshire/centurion-club/,Garden Room
"One of London's most famous destinations for Afternoon Tea, the history of Fortnum & Mason reaches back to 1707 and since that time it has specialised in providing the finest produce and service. They sell over 100 rare and exotic teas from India, China, Nepal, Japan, Ceylon, along with their own traditional blends and a new range of green teas.  Afternoon Tea is served in the relaxed and elegant surroundings of The Diamond Jubilee Tea Salon opened in 2012 by Her late Majesty Queen Elizabeth II, accompanied by Their Royal Highnesses the then Duchess of Cornwall and the Duchess of Cambridge.  A Children's Afternoon Tea is also available featuring light finger sandwiches, plain and fruit scones and a selection of cakes served with your choice of Hot Chocolate, Fruit Juice or a glass of Milk.  As a retreat from London's hustle and bustle, The Diamond Jubilee Tea Salon is ideal, with dining table or sofa seating, a serene ambience and panoramic vista of Piccadilly, enhanced by the peaceful piano playing in the background.  Buy a voucher just for Afternoon Tea or combine Afternoon Tea at Fortnum & Mason with a visit to one of London's top attractions - click the 'Voucher' tab for full details.  Please use the postcode W1J 9LE for maps.","181 Piccadilly, St. James's, London,W1A 1ER",St. James's,Afternoon Tea Awards 2019 - Commended,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,A Made Without Gluten Menu is available - please specify at the time of booking. This menu is not suitable for coeliac guests.,"Yes, please specify at the time of booking",51.508355,-0.13946,,www.afternoontea.co.uk//media/eqya2szf/djts-main-spring-2024.pdf,Pianist,The Diamond Jubilee Tea Salon at Fortnum & Mason,Green Park or Piccadilly Circus,"Yes, please specify at the time of booking",No,London,80.00,Afternoon Tea is served Mon – Thurs 11:30pm – 8pm; Fri - Sat 11am – 8pm; Sun 11:30am - 6pm,"Yes, please specify at the time of booking","Yes, please specify at the time of booking",https://www.afternoontea.co.uk/uk/london/st-jamess/fortnum-mason/,The Diamond Jubilee Tea Salon
"Treat yourself to a delightful Afternoon Tea experience at Denham Grove. This picturesque countryside setting provides perfectly peaceful surroundings to indulge in the great British tradition.  Afternoon Tea is served in either the cosy lounge, covered terrace or stylish outdoor pods with 360° views of their 42 acres of beautiful parkland.  Their quintessential Afternoon Tea menu features a range of stunning sandwiches, scones with clotted cream and jam, as well as a sweet plate that includes tantalising delights such as a vanilla slice and a chocolate and orange cheesecake. There is also a sumptuous vegetarian or vegan menu available. Guests feeling in a decadent mood can upgrade to include a glass of Prosecco.  Please mention any allergens or dietary requirements as you process your booking.  Denham Grove is nestled within 42 acres of beautiful parkland in the heart of Buckinghamshire. This venue is located within easy access of the region's major roads and is just 14 miles from Wembley Stadium.","Tilehouse Ln, Denham, Uxbridge, Middlesex,UB9 5DG",Buckinghamshire,,Yes,Yes,Guide Dogs Only,Smart Casual,Yes,"Yes, available upon request. Please specify at the time of booking.","Yes, available upon request. Please specify at the time of booking.",51.59779732320289,-0.5109581687718747,"Traditional, Vegetarian and Vegan Afternoon Tea is priced from £27.50 per person.; Traditional, Vegetarian and Vegan Afternoon Tea within a POD is priced from £37.50 per person.",www.afternoontea.co.uk//media/5aib3fz1/updated-price-traditional-afternoon-tea-april-2023.pdf,No,Denham Grove,Denham Railway Station,"Yes, available upon request. Please specify at the time of booking.",Yes,South East,27.50,Afternoon Tea is served 12pm - 5pm from Monday - Sunday,"Yes, available upon request. Please specify at the time of booking.",,https://www.afternoontea.co.uk/uk/south-east/buckinghamshire/denham-grove/,Main restaurant
"Blending the contemporary and the classic, Dean Street Townhouse is a refined hotel and restaurant residing in Soho. These suave Georgian townhouses have enjoyed a long and lively history, often serving as a watering hole for bohemian intellectuals and aristocrats.  These days it’s an ideal spot for a sophisticated Breakfast or Brunch. The beautiful architecture is complemented by stylish interiors as art work by the likes of Paul Noble, Keith Tyson, Peter Blake and Tracey Emin hang upon vintage wallpaper.  Dean Street Townhouse features a traditional Afternoon Tea menu, serving specialty finger sandwiches, scones with homemade preserves and clotted cream, and traditional British mini cakes. Guests feeling in a decadent mood can choose to enjoy a glass of Champagne with their Afternoon Tea.  Dean Street Townhouse is in the heart of Soho, a short distance from Tottenham Court Road and Leicester Square stations.","69-71 Dean Street, London,W1D 3SE",Oxford Street,,Yes,Yes,No,Smart casual,No,"Yes, on request",,51.51350187181647,-0.13252462995826772,,www.afternoontea.co.uk//media/vzdpcegz/dean-street-townhouse-at-menu.pdf,No,Dean Street Townhouse,"Tottenham Court Road, Leicester Square",,Yes,London,28.00,Afternoon Tea is served 2pm to 5pm from Monday - Saturday,"Yes, on request","Yes, on request",https://www.afternoontea.co.uk/uk/london/oxford-street/dean-street-townhouse/,
"Situated in 250 acres of stunning Berkshire countryside, De Vere Wokefield Estate is the perfect setting to enjoy Afternoon Tea with loved ones.  The restaurant, 1560, is located in the grand Grade II listed Mansion House with direct access to an outdoor terrace area overlooking the lawns and lakes of the Estate open in the warmer months.  The Afternoon Tea menu features a savoury starter, followed by a selection of sandwiches with traditional fillings, warm scones with clotted cream & jam, with a variety of seasonal cakes to finish.  Choose from a selection of Twinings teas and infusions, including English Breakfast, Earl Grey and Cranberry & Raspberry.  De Vere Wokefield Estate is located near Reading, just 10 minutes from J11 of the M4 with 350 complimentary parking spaces onsite.  Please specify 'Afternoon Tea' in the Specific Requests box on the booking form.","Goodboys Lane, Mortimer, Reading ,RG7 3AE",Berkshire,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,Mansion rear lawns,Upon request,Upon request,51.386049,-1.030406,,www.afternoontea.co.uk//media/pr4pxf5s/afternoon-tea-jan-24.pdf,No live music,De Vere Wokefield Estate Hotel,Mortimer,Upon request,Weather Permitting,South East,28.00,Afternoon Tea is served 12pm to 4pm every day,Upon request,,https://www.afternoontea.co.uk/uk/south-east/berkshire/de-vere-wokefield-estate-reading/,The Mansion House
"Set within the picturesque countryside of South Gloucestershire, De Vere Tortworth Court is a 4-star hotel housed within a Grade II listed Victorian mansion, offering a unique setting to enjoy Afternoon Tea.  Afternoon Tea is served in 1853 restaurant featuring elegant oak panelling and ornate furnishings that provide diners with suitably grand surroundings to indulge in the great British tradition of Afternoon Tea.  You can enjoy a selection of finger sandwiches, followed by an array of Tea Pastries including black cherry & hazelnut frangipane. If your in an extra indulgent mood, why not add a glass of Champagne?  De Vere Tortworth Court is nestled in the heart of picturesque British countryside where guests can enjoy panoramic views of the beautiful natural surroundings.","Tortworth, Wotton-under-Edge, South Gloucestershire,GL12 8HH",Gloucestershire,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,Yes,"Yes, please specify at the time of booking","Yes, please specify at the time of booking",51.630852,-2.435182,,www.afternoontea.co.uk//media/kuyfzgoo/spring-aft-menu-1.pdf,No live music,De Vere Tortworth Court,Yate,"Yes, please specify at the time of booking",Yes,South West,30.00,Afternoon Tea is served 2pm to 3:45pm Monday - Friday and 12:30pm to 3:45pm Saturday - Sunday,"Yes, please specify at the time of booking",,https://www.afternoontea.co.uk/uk/south-west/gloucestershire/de-vere-tortworth-court/,1853 Restaurant
"Relax and unwind in peaceful surroundings at De Vere Latimer Estate. Indulge in a delicious Afternoon Tea while enjoying the wonderful romantic ambience provided by this stunning venue.  The stylish interior of this venue is characterised by ornate furnishings which create a suitably elegant environment of enjoy the British tradition of Afternoon Tea.  Their Afternoon Tea features a delightful range of treats with an added savoury element for diners to enjoy.  De Vere Latimer Estate is located in in the heart of Buckinghamshire, just a 5-minute drive from Chalfont & Latimer train station.","Church Lane, Chesham,HP5 1UG",Buckinghamshire,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,Yes,"Yes, available upon request","Yes, available upon request",51.679486,-0.555455,"SAMPLE AFTERNOON TEA MENU; Savoury; Mini quiche; Mushroom falafel; Sandwiches; Ham and grain mushroom mayonnaise on caraway bread; Smoked salmon and lemon creme fraiche on granary bread; Egg mayonnaise, chive and cress on beetroot bread; Cucumber and cream cheese on basil bread; Sweet Treat; Fruit scones with clotted cream & preserves; Selection of cakes; Strawberry trifle; French macarons; Tea and Coffee; Choose a tea from the Twining's selection or freshly brewed coffee; £31 per person",,No live music,De Vere Latimer Estate,Chalfont/Latimer,"Yes, available upon request",Yes,South East,31.00,Afternoon Tea is served 12pm to 5pm every day,"Yes, available upon request",,https://www.afternoontea.co.uk/uk/south-east/buckinghamshire/de-vere-latimer-estate/,Library/Neville
"Relax and unwind in peaceful surroundings at De Vere Cotswold Water Park. Indulge in a delicious Afternoon Tea while enjoying picturesque views of the Cotswold Water Park.  Afternoon Tea is served in the Brasserie, which provides diners with a relaxing and welcoming environment in which they can enjoy a delightful range of sweet and savoury items.  Their Afternoon Tea menu features a classic interpretation of the great British tradition including sandwiches, scones and sweet treats. Guests feeling in a decadent mood can upgrade to add a glass of Prosecco or Champagne.  De Vere Cotswold Park is located in in the heart of the beautiful Cotswolds, providing guests with the opportunity the British countryside in all its glory.","Lake 6, Spine Road East, South Cerney,GL7 5FP",Gloucestershire,,Children of all ages welcome,Yes,Guide dogs only,Smart casual,No,"Yes, please specify at the time of booking","Yes, please specify at the time of booking",51.670796,-1.899460,,www.afternoontea.co.uk//media/o2ajwmiy/afternoon-tea-jan-2024.pdf,No live music,De Vere Cotswold Water Park,Swindon,"Yes, please specify at the time of booking","Yes, on brasserie patio",South West,25.00,Afternoon Tea is served 1pm to 3:30pm every day,"Yes, please specify at the time of booking",,https://www.afternoontea.co.uk/uk/south-west/gloucestershire/de-vere-cotswold-water-park/,Brasserie
"Treat yourself to a delicious Afternoon Tea at Dalloway Terrace. This stylish indoor-outdoor terrace is named after the famous character created by Virginia Woolf, an author synonymous with this sophisticated venue.  Located in the Bloomsbury Hotel, Dalloway Terrace is a quintessentially English environment that provides ideal surroundings to enjoy the great British tradition of Afternoon Tea. A beautiful al fresco space in spring and summer, this venue is also fully heated in winter meaning Dalloway Terrace is a destination guests can enjoy all year round.  Dalloway Terrace is delighted to serve a seasonal Afternoon Tea menu inspired by quintessential classics.  Dalloway Terrace at the Bloomsbury Hotel is situated right in the heart of London, near the shopping haven of Oxford Street, and just a short walk away from Tottenham Court Road station.","The Bloomsbury Hotel, 16-22 Great Russell Street, London,WC1B 3NN",Bloomsbury,,Children of all ages welcome,Yes,Yes,Smart casual,Terrace & patio,"Yes, available upon request","Yes, available upon request",51.517386,-0.129117,,www.afternoontea.co.uk//media/j1ddekal/dalloway-terrace-afternoon-tea-summer-2024.pdf,No live music,Dalloway Terrace,Tottenham Court Road,"Yes, available upon request",Yes,London,48.00,Afternoon Tea is served 1pm to 4pm every day,No,,https://www.afternoontea.co.uk/uk/london/bloomsbury/dalloway-terrace/,Dalloway Terrace
"Dalchini, the UK’s first authentic Indo-Chinese restaurant, has launched its very own one of a kind afternoon tea in Wimbledon. Balancing  British tradition with the rich tapestry of Indo-Chinese flavours, it includes finger sandwiches, Indian and Chinese savouries, freshly baked scones, muffins and cakes, alongside a large tea selection and Prosecco.  Finger sandwiches come filled with Grilled Mediterranean Vegetables and Garlic Mayo, and Shredded Chicken infused with Black Pepper, followed by a selection of Indian and Chinese snacks – think Aloo Mutter Samosa, Sesame Prawn Toast, and Crisply Chilli Garlic Paneer.  Sweet treats nod to the quintessential British offering with Freshly Baked Raisins & Cheddar Scones served with Cornish Clotted Cream and Strawberry Jam alongside in-house baked Chocolate & Vanilla Muffins, Brownies and a Fruit Tea Cake.  All served either inside the restaurant, or on their intimate seating outside. Guests can pick from an extensive selection of world teas – Flavoured Black Tea from Sri Lanka, Oolong from Taiwan and Camomile tea from Egypt to name a few – or opt for a glass of Prosecco.  Indo-Chinese cuisine traces back to the late 19th century when Hakka Chinese migrants settled in Kolkata, India, and you can get a taste of it at 25 year old Dalchini, the first to bring these flavours to the UK, and now in an Afternoon Tea.  Please specify ‘Afternoon Tea’ in the Special Requests box when booking.","147 Arthur Rd, London,SW19 8AB",West London,,Children of all ages welcome,Yes,Guide Dogs Only,None,,Available upon 48hours request.,The Menu is Halal,51.43479,-0.19954,,www.afternoontea.co.uk//media/0mqj0eir/afternoon-tea-menu-cc.pdf,,Dalchini,"Wimbledon Park, less than 1 minute walk, opposite.",,Yes – limited in front of the restaurant,London,17.95,Afternoon Tea is served daily from 3 - 5:30pm,,Available upon 48hours request.,https://www.afternoontea.co.uk/uk/london/west-london/dalchini/,"Inside the restaurant, or alfresco outside in front of the restaurant (limited seating)"
